nomer_material,tipe_material,nama_material,sat,berat,harga material,pasang_rab,bongkar,jenis_material,kategori_material
36,1,Comp. Joint Bimetal Al/Cu - 70/70 mm (507/U/2009),B,0.40,83.341,13.866,8.320,NON MDU,TUNAI
37,1,Connector for Alluminium 70 mm - Type H (507/U/2009),B,0.10,23.764,22.532,13.519,NON MDU,TUNAI
38,1,Compresion Joint Sleeve 95 mm (507/U/2009),B,0.18,112.333,13.328,7.997,NON MDU,TUNAI
39,1,Concrete Slove / pengaman kabel uk.450x300x40 mm,B,0.01,24.363,2.897,1.738,NON MDU,TUNAI
40,1,Conn. press AL/AL type 6-25 mm2 / 35-70 mm2 + vinil masive,B,0.40,17.537,13.328,7.997,NON MDU,TUNAI
41,1,Conn. press AL/AL type 6-25 mm2 / 6-25 mm2 + vinil masive,B,0.40,18.409,4.926,2.955,NON MDU,TUNAI
42,1,Connector press AL/AL type 35-16mm2 & Cover+tanda phasa,B,0.10,18.730,13.354,8.012,NON MDU,TUNAI
43,1,Connector press AL/AL type 70-35mm2 & Cover+tanda phasa,B,0.10,30.698,13.354,8.012,NON MDU,TUNAI
44,1,Terminal Lug 50 mm2 AL-CU. (507/U/2009),B,0.04,81.167,12.748,7.649,NON MDU,TUNAI
45,1,Terminal Lug 70 mm2 AL-CU. (507/U/2009),B,0.04,60.500,12.748,7.649,NON MDU,TUNAI
46,1,"Cross arm - UNP 100 x 50 x 5 mm - 3000 mm - (l=50mm, t=5mm, tgg=100mm)",B,21.00,763.486,69.185,41.511,NON MDU,TUNAI
47,1,"Cross arm - UNP 100 x 50 x 5 mm - 6000 mm- (l=50mm, t=5mm, tgg=100mm)",B,42.00,1.537.047,98.835,59.301,NON MDU,TUNAI
48,1,"Cross Arm Clevis  - TM - (l=50mm, t=6mm)",B,0.82,43.910,6.954,4.172,NON MDU,TUNAI
49,1,Cross Arm UNP 100 x 50 x 5 - 2.000 - tumpu/tarik,B,14.00,495.328,46.123,27.674,NON MDU,TUNAI
50,1,Cross Arm UNP 100 x 50 x 5 - 2.000 - tumpu/tarik,B,14.00,495.328,46.123,27.674,NON MDU,TUNAI
51,1,"Cross Arm UNP-80 - 2500 (l=45mm,t=3,5mm,tgg=80mm)",S,8.00,482.745,49.418,29.651,NON MDU,TUNAI
52,1,"Cross Arm UNP 100 x 50 x 5 mm - 2500 mm - (l=50mm, t=5mm, tgg=100mm)",B,14.28,642.111,59.301,35.581,NON MDU,TUNAI
53,1,"Cross Arm UNP-80 - 3000 (l=45mm,t=3,5mm,tgg=80mm)",B,8.93,494.896,52.712,31.627,NON MDU,TUNAI
54,1,Cross Arm Type 1.500 NP. 10,B,5.71,377.941,29.651,17.790,NON MDU,TUNAI
55,1,Cross Arm NP. 10 - Type 750,B,2.98,233.361,14.487,8.692,NON MDU,TUNAI
56,1,"Cross Arm type 1.200 NP. 6,5",B,5.64,123.614,15.166,9.100,NON MDU,TUNAI
57,1,"Cross Arm type 1.000 NP. 6,5",B,4.70,162.884,14.825,8.895,NON MDU,TUNAI
58,1,Cross Arm type 900 NP. 8,B,3.57,158.644,13.907,8.344,NON MDU,TUNAI
59,1,Cross Arm type 500 - NP. 8,B,1.79,104.018,8.113,4.868,NON MDU,TUNAI
60,1,Cubicle Pelanggan lengkap,B,3.57,0,0,0,NON MDU,TUNAI
61,1,Kotak APP type C - IA Lengkap,S,50.00,0,0,0,NON MDU,TUNAI
62,1,CT LS 80 / ……. Amp ( sesuai daya ),S,0.00,0,0,0,NON MDU,TUNAI
63,1,Footstuken+bolt & nut,S,0.35,39.148,7.243,4.346,NON MDU,TUNAI
64,1,Plate Cooper,B,0.35,259.161,46.123,27.674,NON MDU,TUNAI
65,1,NH Fuse,B,0.00,0,0,0,NON MDU,TUNAI
66,1,CT TR 100/5 - 250/5 A,B,1.20,690.000,69.537,41.722,MDU UP3,PLN
67,1,"Cubicle Single Incoming , 630 A , 20kV, 16kA Lengkap dengan Incoming Cubicle, LBS , manualMetering Cubicle , VT, manualOutgoing Cubicle , CB Drawout , CT, PT, OCR , motorized (Type DM1W)",S,2250,104.194.433,1.983.421,1.190.053,MDU PUSAT,PLN
68,1,"manualOutgoing Cubicle , CB Drawout , CT, PT, OCR , motorized (Type DM1W)",S,0.00,0,0,0,NON MDU,TUNAI
69,1,Dead End Assembly ( DEA ) - komplit,S,1.78,113.561,49.255,29.553,NON MDU,TUNAI
70,1,"Double Arm Band 8"" - 7"" - TM (504/U/2009)",B,2.24,168.820,23.179,13.907,NON MDU,TUNAI
71,1,"Double Guy Wire Band 7"" - TM",S,1.83,101.612,20.282,12.169,NON MDU,TUNAI
72,1,Dudukan Jointing,S,15.00,108.258,13.328,7.997,NON MDU,TUNAI
73,1,"Ground Rod 16 mm - 2,5 m+clamp - TM - besi As, Electroplatting tembaga 35 micron",S,0.75,291.799,56.007,33.604,NON MDU,TUNAI
74,1,"Fixing Collar 1.5 """,B,0.50,12.910,13.178,7.907,NON MDU,TUNAI
75,1,Polymer Cut Out Switch 24 kV + Fuse,S,33.33,902.054,18.543,11.126,MDU PUSAT,PLN
76,1,3,M,0.44,12.479,3.295,1.977,NON MDU,TUNAI
77,3,Galvanized Steel Wire 35 mm  (542/U/2009),M,0.44,21.238,3.558,2.135,NON MDU,TUNAI
78,1,Galvanized Steel Wire 70 mm  (542/U/2009),M,0.95,34.940,3.822,2.293,NON MDU,TUNAI
79,1,"Gaspijp 1,5"" - 2,3 m, u/ dask Galv",B,3.50,0,0,0,NON MDU,TUNAI
80,1,"Gaspijp 3 "" - 6 m. Galv",B,6.98,1.167.947,39.534,23.720,NON MDU,TUNAI
81,1,"Gaspijp 4 "" - 6 m. Galv",B,7.54,1.860.104,30.968,18.581,NON MDU,TUNAI
82,1,"Gembok ""setara SOLEX""",B,0.40,326.049,5.000,3.000,MDU UP3,PLN
83,1,"Earthing Rod 16 mm - 1,5 m+clamp - TR- besi As, Electroplatting tembaga 35 micron",S,0.45,220.258,59.301,35.581,NON MDU,TUNAI
84,1,"Guy Wire Rod 5/8"" ( 15 mm ) - 1.800 mm (514/U/2009)",B,3.48,142.554,32.945,19.767,NON MDU,TUNAI
85,1,"Guy Wire Rod 5/8"" ( 15 mm ) - 2.500 mm  (514/U/2009)",B,6.96,179.755,32.945,19.767,NON MDU,TUNAI
86,1,"Guy Wire Timble (t=2,5mm)",B,0.13,5.299,3.822,2.293,NON MDU,TUNAI
87,1,Insulated Tension Joint 70 mm,B,0.10,49.401,7.243,4.346,NON MDU,TUNAI
88,1,Insulated Non Tension Joint 50 mm,B,0.10,33.033,0,0,NON MDU,TUNAI
89,1,Jasa Perakitan / Montage,Ls,0.00,0,45.335,27.201,NON MDU,TUNAI
90,1,Jasa Perakitan / Montage,Ls,0.00,0,45.335,27.201,NON MDU,TUNAI
91,1,Jasa Perakitan / Montage,Ls,0.00,0,45.335,27.201,NON MDU,TUNAI
92,1,Joint Sleeve 70 mm  (507/U/2009),B,0.07,88.851,12.169,7.301,NON MDU,TUNAI
93,1,Joint Sleeve 150 mm (507/U/2009),B,0.14,154.601,24.709,14.825,NON MDU,TUNAI
94,1,Joint Sleeve 240 mm,B,0.28,195.293,24.709,14.825,NON MDU,TUNAI
95,1,Jointing Termination 24 Kv - uk. 150 mm - 3 Core/XLPE,S,7.50,7.264.397,2.297.212,1.378.327,MDU UID,PLN
96,1,Jointing Termination 24 Kv - uk. 150 mm - 1 Core/MVTIC,S,7.50,7.175.372,1.689.473,1.013.684,MDU UID,PLN
97,1,Jointing Termination 24 Kv - uk. 240 mm - 3 Core/XLPE,S,7.50,7.381.743,1.689.473,1.013.684,MDU UID,PLN
98,1,Kanal NP6-60 cm + Bolt&nut,B,3.25,47.488,6.954,4.172,MDU UID,PLN
99,1,Kawat Segel @ 15 cm,B,0.03,419,2.500,1.500,NON MDU,TUNAI
100,1,"Klem Begel 3/4"" u/ kabel",B,0.76,27.114,6.954,4.172,NON MDU,TUNAI
101,1,"Klem Begel U 2"" - (t=3mm, l=35mm)",B,0.45,33.952,6.374,3.825,NON MDU,TUNAI
102,1,"Klem Begel U 3"" - (t=3mm, l=35mm)",B,0.45,39.813,6.664,3.998,NON MDU,TUNAI
103,1,"Klem Begel U 10"" - TM - (l=44mm, t=6mm)",B,2.24,78.455,7.012,4.207,NON MDU,TUNAI
104,1,"Klem Begel U 11"" - TM - (l=44mm, t=6mm)",B,2.46,89.886,7.012,4.207,NON MDU,TUNAI
105,1,Klem kabel/ Cable suport (508/U/2009),B,1.20,1.398,3.750,2.250,NON MDU,TUNAI
106,1,"Knee + sook 3"" besi",B,1.00,217.355,9.851,5.911,NON MDU,TUNAI
107,1,"Knee 2"" - PVC",B,0.78,20.972,6.251,3.750,NON MDU,TUNAI
108,1,Kotak APP u/kWh Meter Elektronik + Modem,S,3.50,0,0,0,NON MDU,TUNAI
109,1,kWh Meter 3 ph Elektronik lengkap Modem,S,3.25,0,260.763,156.458,NON MDU,TUNAI
110,1,kWh m 3 phs. Elektronik lengkap dengan Modem,S,3.25,1.442.800,231.789,139.073,MDU PUSAT,PLN
111,1,kWh m 3 phs. 220/380 V - 20/60 A ST Clas 1 Elektronik,S,2.50,0,234.686,140.812,NON MDU,TUNAI
112,1,"kWh m TM Kelas 0,5s dilengkapi fasilitas AMR",S,4.20,1.436.450,260.763,156.458,MDU PUSAT,PLN
113,1,"KWh meter Electronic Anti Temper 1 Phasa 2 kawat 50 Hz, 5(20) klass 1 lengkap MCB",S,2.20,351.802,60.005,36.003,MDU PUSAT,PLN
114,1,"L bouw 3 "" PVC",S,0.65,68.246,6.954,4.172,NON MDU,TUNAI
115,1,Large Angle Assembly ( LAA ),S,2.75,120.241,57.947,34.768,NON MDU,TUNAI
116,1,"Lengkap dengan Incoming Cubicle, LBS , manualMetering Cubicle , VT,",S,0.00,0,0,0,NON MDU,TUNAI
117,1,Lightning Arrester 24 kV - 10 kA,S,8.38,715.315,45.199,27.119,MDU PUSAT,PLN
118,1,Line Tap Connector 50-70 mm type G,B,0.40,24.000,11.589,6.954,NON MDU,TUNAI
119,1,Line Tap Connector Al 150 - 50 mm type G,B,0.40,36.294,13.328,7.997,NON MDU,TUNAI
120,1,C Clamp Cu - 50 mm,B,0.40,31.350,13.328,7.997,NON MDU,TUNAI
121,1,Line Tap Connector Type 70 - 150 mm,B,0.40,30.967,11.589,6.954,NON MDU,TUNAI
122,1,Line Tap Connector Type Al - 150 mm,B,0.80,36.377,13.328,7.997,NON MDU,TUNAI
123,1,Link (506/U/2009),B,0.23,4.176,2.000,1.200,NON MDU,TUNAI
124,1,Load Break Switch 24 kV - 630 A Manual,S,250.00,91.243.638,1.345.782,807.469,MDU PUSAT,PLN
125,1,"Load Break Switch 24 kV-630 A Motorized 12,5 kA c/w PTCC",S,185.00,68.961.402,1.794.376,1.076.626,MDU PUSAT,PLN
126,1,Load Segel @ tiap 5 meter,B,1.75,70.840,5.795,3.477,NON MDU,TUNAI
127,1,"Lodden manchet 1.5 "" berat 0.95 - 1 kg",B,1.00,0,3.627,2.176,NON MDU,TUNAI
128,1,Termination Outdoor 24 kV - uk. 150 mm - 1 Core/MVTIC,S,7.50,5.503.235,2.510.903,1.506.542,MDU UID,PLN
129,1,Termination Idoor 24 kV - uk. 150 mm - 1 Core/MVTIC,S,7.50,4.180.342,2.510.903,1.506.542,MDU UID,PLN
130,1,MCB 230 V - 35 A s/d 50 A - 1 Phasa,B,0.25,35.972,13.413,8.048,MDU PUSAT,PLN
131,1,MCB 230 V - 2 A s/d 35 A - 1 Phasa,B,0.25,35.972,10.001,6.001,MDU PUSAT,PLN
132,1,MCB 230 V - 10 s/d 50 A - 3 Phasa,B,0.25,163.076,14.487,8.692,MDU PUSAT,PLN
133,1,MCB 3 phs. 230 V - 25 A s/d 50 A,B,0.30,500.000,12.001,7.201,MDU PUSAT,PLN
134,1,MCCB 63 s/d 100 A,B,2.50,0,0,0,MDU UP3,PLN
135,1,Mountage,Ls,0.00,0,0,0,NON MDU,TUNAI
136,1,Mountage SLM 250 kva keatas,Ls,0.00,167.163,185.431,111.259,-,PLN
137,1,Mountage kWH 5/20 A,S,0.00,0,86.921,52.153,38.169,PLN
138,1,NA2XSEYBY 3 x 150 mm2;20KV;UG,M,10.50,376.091,41.492,24.895,MDU PUSAT,PLN
139,1,NA2XSEYBY 3 x 240 mm2;20KV;UG,M,12.43,434.745,46.103,27.662,MDU PUSAT,PLN
140,1,NFA2XSEY-T 3 x 150 + 1 x 95 mm2 - CWS,M,5.29,312.182,46.103,27.662,MDU PUSAT,PLN
141,1,NFA2XSEY-T 3 x 240 + 1 x 95 mm2 - CWS,M,9.52,375.350,55.323,33.194,MDU PUSAT,PLN
142,1,NYA 35 sqmm ( SPLN ),M,0.10,79.270,8.001,4.800,NON MDU,TUNAI
143,1,NYA 50 sqmm ( SPLN ),M,0.19,92.494,11.501,6.901,NON MDU,TUNAI
144,1,"NYAF / NYA 2,5 mm² ( SPLN )",M,0.12,7.457,5.500,3.300,NON MDU,TUNAI
145,1,NYAF 10 mm² ( SPLN ),M,0.12,34.596,1.917,1.150,NON MDU,TUNAI
146,1,NYAF 35 sqmm u/ bawah Arrester ( SPLN ),M,0.10,92.467,11.501,6.901,NON MDU,TUNAI
147,1,NYY 1 x 70 mm2 ( SPLN ),M,0.10,184.028,0,0,NON MDU,TUNAI
148,1,NYY 1 x 150 sqmm - Input ( SPLN ),M,0.38,208.393,18.458,11.075,MDU PUSAT,PLN
149,1,NYY 4 x 70 sqmm - Output ( SPLN ),M,0.76,399.688,31.871,19.123,MDU PUSAT,PLN
150,1,NYY 4x2.5 mm untuk APP ( SPLN ),M,0.20,21.811,5.500,3.300,NON MDU,TUNAI
151,1,OA Kast type I Sistim Press cat powder coating,B,18.00,0,434.605,260.763,NON MDU,TUNAI
152,1,OA Kast type III lengkap cat powder coating,S,55.00,166.689,28.974,17.384,MDU UID,PLN
153,1,OA Kast type VI cat powder coating,S,45.00,1.884.972,260.763,156.458,MDU UID,PLN
154,1,"OA Kast type VI ,Kecil cat powder coating",S,35.00,124.494,17.384,10.431,MDU UID,PLN
155,1,"Ornament Kabel Band 6""",S,2.11,46.092,7.533,4.520,NON MDU,TUNAI
156,1,"Ornament Kabel Band 9/10."" - 3/4""",S,1.40,28.317,10.720,6.432,NON MDU,TUNAI
157,1,Pasir urug,M3,0.00,664.419,25.842,15.505,NON MDU,TUNAI
158,1,Patok Tanda Kabel (169/K/2009),B,5.00,99.028,29.651,17.790,NON MDU,TUNAI
159,1,"Pipa Air 3/4"" - 3 mtr. u/ pelindung Ground  (555/U/2009)",B,0.00,120.474,11.860,7.116,NON MDU,TUNAI
160,1,"Pin Post Insulator 20 Kv;12,5 kN - Porcelain",S,8.00,231.633,26.356,15.814,MDU PUSAT,PLN
161,1,"Pipa Air 3/4"" - 2 mtr. u/ pelindung Ground  (555/U/2009)",B,0.00,81.762,10.542,6.325,NON MDU,TUNAI
162,1,"Pipa Air 3/4"" - 4 mtr. u/ pelindung Ground  (555/U/2009)",B,0.93,159.177,11.531,6.918,NON MDU,TUNAI
163,1,"Pipa Air 3/4"" -1 mtr. u/ pelindung Ground (555/U/2009)",B,0.23,47.149,7.907,4.744,NON MDU,TUNAI
164,1,"Pipa Air 3/4"" - 6 mtr tebal 1,6 mm",B,1.85,211.163,10.431,6.258,NON MDU,TUNAI
165,1,"Pipa Air 2"" - 1,5 meter ( medium ) (555/U/2009)",B,8.38,287.459,41.064,24.639,NON MDU,TUNAI
166,1,"Pipa Air 2"" - 3 meter ( medium )  (555/U/2009)",B,2.06,346.941,15.155,9.093,NON MDU,TUNAI
167,1,"Pipa Air 2"" - 6 mtr tbl 2,5 mm ( medium )",B,2.06,734.315,29.651,17.790,NON MDU,TUNAI
168,1,"Pipa Air 3"" - 1 meter ( medium )  (555/U/2009)",B,1.40,282.365,17.790,10.674,NON MDU,TUNAI
169,1,"Pipa Air 3"" - 5 meter ( medium )  tbl = 3 mm",B,8.38,682.032,42.237,25.342,NON MDU,TUNAI
170,1,"Pipa Air 3"" - 6 mtr tbl 2,5 mm ( medium )",B,8.38,734.315,29.651,17.790,NON MDU,TUNAI
171,1,"Pipa Air 2"" - 5 mtr tbl 2,5 mm ( medium )",B,1.71,639.861,19.108,11.465,NON MDU,TUNAI
172,1,"Pipa Air PVC 2"" - 3 meter ( AW )",B,0.00,97.713,7.533,4.520,NON MDU,TUNAI
173,1,"Pipa Air PVC 3"" - 5 meter ( AW )",B,0.00,659.539,19.175,11.505,NON MDU,TUNAI
174,1,"Pipa Air 2"" - 2 meter / Strut Tie (555/U/2009)",S,2.06,265.388,14.487,8.692,NON MDU,TUNAI
175,1,"Pipa Air 3/4"" - 1 meter medium (555/U/2009)",B,0.00,47.149,7.907,4.744,NON MDU,TUNAI
176,1,"Pipa Air 4"" - 6 mter u/ pelindung jalan  (555/U/2009)",B,9.88,1.860.104,30.968,18.581,NON MDU,TUNAI
177,1,"Pipa Air 4"" - 6 mtr (555/U/2009)",B,9.88,1.292.576,75.331,45.199,NON MDU,TUNAI
178,1,"Pipa Pelindung 3/4"" - 2000  (512/U/2009)",B,1.85,81.870,11.201,6.721,NON MDU,TUNAI
179,1,"Pipa Pelindung 3/4"" - 3000 (555/U/2009)",B,2.25,120.474,11.860,7.116,NON MDU,TUNAI
180,1,Plastic Strap Medium,B,0.08,2.355,2.318,1.391,NON MDU,TUNAI
181,1,Plat Cooper 4 x 40 mm,M,1.60,259.161,46.123,27.674,NON MDU,TUNAI
182,1,Pole Block (504/U/2009),S,1.68,211.466,92.246,55.348,NON MDU,TUNAI
183,1,"Pole Block Band 12"" - TM (557/U/2009)",S,21.00,73.985,23.062,13.837,NON MDU,TUNAI
184,1,"Pole Bracket 3-6""",B,0.50,39.573,7.243,4.346,NON MDU,TUNAI
185,1,"Pole Bracket 6"" - 8""",B,0.50,41.271,8.692,5.215,NON MDU,TUNAI
186,1,Pondasi type A ( 1 tiang )  (91/U/2009),B,0.00,492.236,295.332,177.199,NON MDU,TUNAI
187,1,Pondasi type D ( 2 Tiang ) (91/U/2009),B,0.00,946.608,553.748,332.249,NON MDU,TUNAI
188,1,"Pondasi u/Gaspijp 3""",Ls,0.00,157.785,98.835,59.301,NON MDU,TUNAI
189,1,Preformed Termination 35 mm  (542/U/2009),B,0.50,52.034,17.384,10.431,NON MDU,TUNAI
190,1,Preformed Termination 70 mm  (542/U/2009),B,0.40,76.420,20.282,12.169,NON MDU,TUNAI
191,1,"Protective cap 1.5 """,B,0.50,9.050,863,518,NON MDU,TUNAI
192,1,"PVC 3/4"" 6 meter",B,0.85,0,0,0,NON MDU,TUNAI
193,1,Service wedge clamp 2/4 x 6/10 mm,Bh.,0.75,5.383,4.346,2.608,NON MDU,TUNAI
194,1,Service wedge clamp 4/4 x 10/16 mm,B,0.75,6.296,5.679,3.407,NON MDU,TUNAI
195,1,"Single Arm Band 8"" (504/U/2009)",B,2.24,113.614,10.431,6.258,NON MDU,TUNAI
196,1,"Single Guy Wire Band 8"" - TM (513/U/2009)",S,1.40,86.625,14.487,8.692,NON MDU,TUNAI
197,1,Small Angle Assembly ( SAA ),S,1.76,89.689,28.974,17.384,NON MDU,TUNAI
198,1,"Sock Pipa PVC 3""",B,0.04,17.430,4.250,2.550,NON MDU,TUNAI
199,1,Preformed Termination 22 mm  (542/U/2009),B,0.50,29.040,14.487,8.692,NON MDU,TUNAI
200,1,Square pipe 75 x 75 x 3 - 2000 - tumpu (502/U/2009),B,14.00,0,0,0,NON MDU,TUNAI
201,1,"Square Washer - (l=50mm, p=50mm, t=2,5mm)",B,0.05,5.541,1.449,869,NON MDU,TUNAI
202,1,Stainless Steel Strip non magnetic,M,0.02,13.548,5.563,3.338,NON MDU,TUNAI
203,1,Stoping Buckle non magnetic,B,0.23,3.982,3.651,2.190,NON MDU,TUNAI
204,1,Strain Clamp 70 - 150 mm - 2 nut,S,0.95,96.584,17.384,10.431,NON MDU,TUNAI
205,1,Strain Clamp 150 - 240 mm - 3 nut,S,1.20,189.858,23.179,13.907,NON MDU,TUNAI
206,1,Strain Rod Insulator (88/U/2009),S,9.00,431.581,23.179,13.907,MDU PUSAT,PLN
207,1,Strainhook & clamp u/. Gaspijp - 1.5',B,0.95,15.403,11.589,6.954,NON MDU,TUNAI
208,1,"Stroppen u/ loden manchet 1.5""",B,0.85,0,0,0,NON MDU,TUNAI
209,1,"Strut Arm TM - (l=50mm, t=5mm, tgg=100mm) NP 10 - 30 cm",B,2.80,60.192,20.282,12.169,NON MDU,TUNAI
210,1,"Strut Arm TR - (l=50mm, t=5mm, tgg=100mm) NP 10 - 25 cm",B,2.00,65.948,20.282,12.169,NON MDU,TUNAI
211,1,"Strut Tie 2000 - pipe 2""  (512/U/2009)",B,1.37,165.448,11.589,6.954,NON MDU,TUNAI
212,1,Suspension Clamp For MV,B,0.82,29.370,5.215,3.129,NON MDU,TUNAI
213,1,"Tanda Bahaya Besar - (l=400mm, tgg=450mm)",B,0.08,82.598,5.215,3.129,NON MDU,TUNAI
214,1,NFA2X-T;3x70 + 1x50 mm2,M,1.05,75.237,16.257,9.754,NON MDU,TUNAI
215,1,TC 3 x 50 + 1 x 35 sqmm ( SPLN ),M,0.77,34.095,11.632,6.979,NON MDU,TUNAI
216,1,Terminal Lug 150 mm - Al 2 Nut,B,0.40,125.750,13.907,8.344,NON MDU,TUNAI
217,1,Terminal Lug 150 mm - Al / Cu (507/U/2009),B,0.20,128.879,13.907,8.344,NON MDU,TUNAI
218,1,Terminal Lug 150 mm - Al 2 Nute,B,0.20,125.750,13.907,8.344,NON MDU,TUNAI
219,1,Terminal Lug 35 mm - Cu (507/U/2009),B,0.40,23.100,9.561,5.737,NON MDU,TUNAI
220,1,Terminal Lug 35-50 mm - Cu  (507/U/2009),B,0.40,64.504,10.129,6.077,NON MDU,TUNAI
221,1,Terminal Lug 50 mm - Al (507/U/2009),B,0.23,29.400,12.748,7.649,NON MDU,TUNAI
222,1,Terminal Lug 50 mm - Cu (507/U/2009),B,0.40,27.500,12.748,7.649,NON MDU,TUNAI
223,1,Terminal Lug 70 mm - Al/Cu 2 Nut,B,0.40,157.850,12.748,7.649,NON MDU,TUNAI
224,1,Terminal lug 70 mm AL/CU u/ CO  (507/U/2009),B,0.23,60.500,12.748,7.649,NON MDU,TUNAI
225,1,Terminal Lug 70 mm - Cu  (507/U/2009),B,0.40,73.733,12.748,7.649,NON MDU,TUNAI
226,1,Terminal Lug 70 mm Al (507/U/2009),B,0.10,29.600,12.748,7.649,NON MDU,TUNAI
227,1,Terminal Lug 70 mm Al - Cu  (507/U/2009),B,0.10,60.500,12.748,7.649,NON MDU,TUNAI
228,1,Terminal Lug 150 mm - Cu (507/U/2009),B,0.80,138.836,13.907,8.344,NON MDU,TUNAI
229,1,Terminal Lug 50 mm - Cu (507/U/2009),B,0.40,27.500,12.748,7.649,NON MDU,TUNAI
230,1,Terminal Lug 70 mm - Cu  (507/U/2009),B,0.40,73.733,12.748,7.649,NON MDU,TUNAI
231,1,Termination ID 3 X 150 MM2 u/XLPE,S,7.50,7.264.397,2.297.212,1.378.327,MDU UID,PLN
232,1,Termination ID 3 X 240 MM2 u/XLPE,S,7.50,5.685.530,1.689.473,1.013.684,MDU UID,PLN
233,1,Termination OD 3 X 150 MM2 u/XLPE,S,7.50,6.680.875,2.297.212,1.378.327,MDU UID,PLN
234,1,Termination OD 3 X 240 MM2 u/ XLPE,S,7.50,6.680.875,1.689.473,1.013.684,MDU UID,PLN
235,1,Termination Out Door 3 X 150 + 1 x 95 mm u/MVTIC,S,7.50,0,0,0,NON MDU,TUNAI
236,2,Tiang Beton 11 - 200 daN (524/U/2009),B,900.00,4.439.661,1.325.750,795.450,MDU PUSAT,PLN
